,T1001,T1003,T1005,T1007,T1008,T1010,T1011,T1012,T1014,T1016,T1018,T1021,T1025,T1027,T1029,T1030,T1033,T1036,T1037,T1039,T1040,T1041,T1046,T1047,T1048,T1049,T1052,T1053,T1055,T1056,T1057,T1059,T1068,T1069,T1070,T1071,T1072,T1074,T1078,T1080,T1082,T1083,T1087,T1090,T1091,T1092,T1095,T1098,T1102,T1104,T1105,T1106,T1110,T1111,T1112,T1113,T1114,T1115,T1119,T1120,T1123,T1124,T1125,T1127,T1129,T1132,T1133,T1134,T1135,T1136,T1137,T1140,T1176,T1185,T1187,T1189,T1190,T1195,T1197,T1199,T1200,T1201,T1202,T1203,T1204,T1205,T1207,T1210,T1213,T1216,T1217,T1218,T1219,T1220,T1221,T1222,T1480,T1482,T1484,T1485,T1486,T1491,T1497,T1505,T1518,T1528,T1530,T1534,T1539,T1542,T1543,T1546,T1547,T1548,T1550,T1552,T1553,T1554,T1555,T1556,T1557,T1558,T1559,T1560,T1562,T1563,T1564,T1565,T1566,T1567,T1568,T1569,T1570,T1571,T1572,T1573,T1574,T1583,T1584,T1585,T1586,T1587,T1588,T1589,T1590,T1591,T1592,T1594,T1595,T1598,T1601,T1606
T1001,0.070595769,0.060002886,0.067114026,0.078140587,0.069847367,0.013835497,0,0.023602312,0.049675972,0.064537247,0.065261336,0.058590337,0.072574244,0.044745003,0.097515809,0.052038916,0.050131458,0.051965695,0.01624388,0.103248236,0.064347706,0.075333969,0.062892697,0.054647072,0.061329356,0.064297586,0.099612405,0.041602687,0.051796756,0.06238508,0.04484383,0.052884969,0,0.027280013,0.051569146,0.068851442,0.036483035,0.059992393,0.062770537,0.103343969,0.059099159,0.057497286,0.05828299,0.065924625,0.047466715,0.02106349,0.074079213,0.047524629,0.071205979,0.043720795,0.064773894,0.050726823,0.059672799,0,0.033248104,0.076813914,0.063106875,0,0.089975301,0.048164316,0.067455756,0.086091414,0,0,0.043464715,0.0705717,0.063060723,0.022856807,0.097417509,0.045160673,0,0.060562446,0,0.048251445,0.069916172,0.054215975,0.049093303,0.03976367,0.022909944,0.090134045,0,0.036483035,0,0.075736188,0.074074537,0,0,0.061301189,0,0,0.094781974,0.037538223,0.018580372,0.064147854,0.057758621,0.071959828,0,0.061586569,0.036483035,0.079213705,0.054534583,0,0.048402537,0.053468747,0.054353498,0,0,0,0,0.021579947,0.049907384,0.044875313,0.034695667,0.050843251,0.042476325,0.060042046,0.057675196,0.071850706,0.048062963,0.087663145,0.063492063,0.024844933,0.055752632,0.068133489,0.051098822,0,0.062045319,0.043308089,0.083963904,0.04313058,0.052066782,0.048082585,0.094758543,0.084784504,0.03956775,0.070829152,0.056013345,0.064636094,0,0.073276507,0,0.029271971,0.056855439,0.07431026,0,0,0,0,0,0.082585574,0,0
T1003,0.065921359,0.076812662,0.078473429,0.070199806,0.044492789,0.027326165,0,0.040731529,0.050040932,0.06085995,0.059460076,0.064957526,0.088677404,0.076438122,0.071418026,0.007748767,0.05207744,0.067806048,0.033751356,0.07734847,0.053101738,0.062963645,0.055931093,0.066337535,0.059049113,0.055572765,0.077296023,0.058152517,0.070954931,0.083589905,0.056978321,0.066610701,0,0.053880111,0.072087328,0.065677485,0.072056783,0.071524478,0.073274285,0.073780807,0.066067999,0.078077074,0.065035222,0.053271456,0.07951082,0.041602003,0.06683423,0.007076575,0.066358895,0.086351914,0.071927163,0.085423947,0.068972764,0,0.058369973,0.087660087,0.044982007,0,0.105431893,0.079425802,0.102859855,0.099745586,0,0,0.073934792,0.055977246,0.063779043,0.045143942,0.079028157,0.033426076,0,0.076140613,0,0.079131601,0.106611618,0.066775489,0.044817637,0.07853629,0.045248892,0.013421258,0,0.072056783,0,0.124394332,0.073584677,0,0,0.064636848,0,0,0.01411335,0.064997797,0.036697655,0.097815802,0.093500057,0.116720866,0,0.103385433,0.072056783,0.120788954,0.088049874,0,0.082184077,0.041807008,0.073177232,0,0,0,0,0.042622045,0.063105516,0.055280438,0.050658274,0.065520932,0.069939955,0.075223229,0.067240468,0.109561491,0.077983058,0.083457172,0.10658419,0.049070643,0.094058433,0.080944516,0.060556598,0,0.086279879,0.072235077,0.067311055,0.072830878,0.040200991,0.062935231,0.082514223,0.089729089,0.067651285,0.063664983,0.069084584,0.060740953,0,0.053665796,0,0.057814382,0.035966777,0.064900592,0,0,0,0,0,0.045872452,0,0
T1005,0.064759216,0.077497018,0.095955004,0.030119932,0.024735697,0.007111498,0,0.037264342,0.040914224,0.056458789,0.054128401,0.058869728,0.099563698,0.063691122,0.106634751,0.015272389,0.043671862,0.067119433,0.009876872,0.115100902,0.061895828,0.066642362,0.041577046,0.047692016,0.057064241,0.047011193,0.114436926,0.048145758,0.060389173,0.074818755,0.0466044,0.047840498,0,0.014022031,0.074726275,0.059841574,0.018752419,0.084669706,0.082552857,0.110590187,0.062018581,0.085981403,0.055389627,0.040381117,0.072996549,0.010826714,0.06360508,0.013947535,0.066523203,0.022472655,0.072546708,0.076408903,0.072955601,0,0.049550351,0.084863489,0.067440221,0,0.111481956,0.078751218,0.141586906,0.10076704,0,0,0.062946676,0.055455351,0.059974666,0.011748486,0.084682317,0.016554486,0,0.071875496,0,0.080529109,0.146751219,0.056311698,0.019008575,0.020438678,0.011775799,0.026452553,0,0.018752419,0,0.12569682,0.082427378,0,0,0.064661522,0,0,0.027816628,0.052023223,0.009550382,0.134643752,0.100964411,0.124922971,0,0.093879166,0.018752419,0.166266366,0.096191743,0,0.070609443,0.019866397,0.056713246,0,0,0,0,0.011092175,0.057612682,0.052260249,0.051115431,0.056884801,0.069847001,0.083470986,0.06338093,0.150811729,0.083349715,0.085798584,0.096783797,0.01277039,0.083396162,0.088350307,0.047888243,0,0.084773992,0.067757857,0.083426051,0.064288428,0.019284627,0.041842931,0.09000198,0.072660426,0.056125713,0.060151636,0.060201371,0.051589193,0,0.080128773,0,0.015045905,0.020103657,0.071948633,0,0,0,0,0,0.070519813,0,0
T1007,0.057174344,0.050565958,0.034968284,0.10672859,0.072644004,0.037399104,0,0.027311788,0.04786939,0.056264278,0.057377408,0.055560699,0.048154627,0.057181726,0.031226137,0.021283699,0.050675212,0.04713279,0.043909269,0.032817877,0.038982508,0.054479731,0.065555379,0.068276694,0.051247955,0.059569977,0.031286108,0.048848384,0.057804517,0.064545111,0.051419465,0.067532878,0,0.073741335,0.042376199,0.061530254,0.09861827,0.036839256,0.041189783,0.033360703,0.05463454,0.042419754,0.059663744,0.064863798,0.051821759,0.056937285,0.061710982,0.019437375,0.056095885,0.118182855,0.052604098,0.057901021,0.044851488,0,0.043679349,0.067562356,0.020927907,0,0.067835478,0.045214801,0.014074074,0.070434964,0,0,0.053583372,0.053880586,0.055374952,0.061784849,0.067486718,0.05362572,0,0.056633539,0,0.042722672,0.014587419,0.058439955,0.067940159,0.107486245,0.061928486,0.036864449,0,0.09861827,0,0.068164355,0.048790416,0,0,0.049832809,0,0,0.038765432,0.05099612,0.050225102,0.013383908,0.043950617,0.056119353,0,0.068545851,0.09861827,0.016527271,0.040138969,0,0.058865404,0.065295024,0.0678406,0,0,0,0,0.058333333,0.050301957,0.042837358,0.031445974,0.053752021,0.039251969,0.041342295,0.052728594,0.014991043,0.03762149,0.066850856,0.070666667,0.067159007,0.064555217,0.0481726,0.058132972,0,0.057616774,0.045461204,0.045017646,0.050298142,0.06294976,0.066406321,0.064799094,0.08941168,0.050632057,0.059433264,0.059048236,0.061758215,0,0.023464321,0,0.079125852,0.058808477,0.049510932,0,0,0,0,0,0.028641171,0,0
T1008,0.071868077,0.053236487,0.047116645,0.107861495,0.091862671,0.025406634,0,0.021025284,0.05257287,0.06619881,0.070228114,0.059136238,0.056276411,0.044085486,0.072498246,0.054853244,0.054095036,0.046747172,0.029829237,0.079473021,0.059804369,0.074993332,0.0753442,0.064983288,0.060894504,0.072685129,0.07191777,0.043674962,0.053334382,0.061657273,0.047781322,0.062756668,0,0.050095294,0.04215916,0.073388739,0.066995142,0.044741283,0.049736978,0.081501588,0.059182312,0.04370813,0.062958598,0.078857488,0.041684252,0.038679663,0.077687646,0.050094819,0.071475334,0.080286109,0.060944354,0.046045677,0.052526306,0,0.032807761,0.072701722,0.047525666,0,0.078704025,0.03791537,0.023816224,0.077753281,0,0,0.041815278,0.074265323,0.063166267,0.041972798,0.096975891,0.05931156,0,0.057005796,0,0.036453451,0.024684909,0.057754466,0.069856993,0.073019495,0.042070376,0.100720088,0,0.066995142,0,0.057875657,0.063960565,0,0,0.059230456,0,0,0.0999079,0.038742463,0.034119822,0.022648321,0.039360773,0.049848656,0,0.054862214,0.066995142,0.027967537,0.036355977,0,0.046086853,0.071168035,0.060936144,0,0,0,0,0.039628052,0.048719741,0.042604712,0.028712885,0.051379088,0.033067186,0.047871585,0.055594303,0.025367924,0.03337702,0.085720849,0.056559657,0.045623668,0.051153319,0.055718245,0.057638552,0,0.054496657,0.036949801,0.072118655,0.039785295,0.069086077,0.059441334,0.091098665,0.095546776,0.039167953,0.074684696,0.057032003,0.070042828,0,0.054477507,0,0.053753201,0.072053784,0.068099975,0,0,0,0,0,0.069081677,0,0
T1010,0.030765323,0.025297351,0.019168317,0.055714283,0.040278549,0.017606721,0,0.012241017,0.024694781,0.030035486,0.030803284,0.02859601,0.0249848,0.026576097,0.021086251,0.016267796,0.026312699,0.022674077,0.020671572,0.022158643,0.022233113,0.029802562,0.034859838,0.034226881,0.027337741,0.032123677,0.021120552,0.023642389,0.028343142,0.031817232,0.025245079,0.033574964,0,0.034715888,0.020778268,0.032713794,0.046427433,0.018459836,0.021539653,0.02253039,0.027614937,0.020521386,0.030558465,0.035144025,0.024195377,0.026804891,0.033344923,0.014856592,0.030269986,0.055638033,0.027290328,0.026992514,0.023138078,0,0.019787207,0.034444111,0.01376512,0,0.034863789,0.021463945,0.009427609,0.036161734,0,0,0.025011287,0.030067434,0.029151714,0.029087023,0.037952506,0.028486076,0,0.028379747,0,0.020424441,0.009771477,0.029313175,0.035374254,0.050602291,0.029154644,0.028176649,0,0.046427433,0,0.032521949,0.026410042,0,0,0.026152279,0,0,0.02962963,0.023697082,0.023644934,0.008965297,0.021436588,0.02727806,0,0.031941034,0.046427433,0.011070899,0.019670937,0,0.027470867,0.034886387,0.032977641,0,0,0,0,0.027462121,0.024689435,0.020967462,0.014728086,0.026731201,0.018668076,0.02125262,0.026899575,0.010041847,0.018277459,0.036028127,0.032929293,0.031617065,0.030101891,0.024800965,0.029350464,0,0.027402864,0.021312947,0.026318077,0.023456668,0.033706693,0.032820182,0.035975598,0.046171034,0.023647338,0.032115415,0.029151198,0.032761243,0,0.015844885,0,0.037250807,0.032651226,0.027552512,0,0,0,0,0,0.020106522,0,0
T1011,0.042957444,0.050373825,0.04808055,0.051486573,0.030351439,0.021856619,0,0.027035376,0.0339097,0.040246869,0.039320518,0.043703541,0.056164422,0.053194436,0.038822817,0,0.035577437,0.044740703,0.025661261,0.042198622,0.032458995,0.039653746,0.038385485,0.047096642,0.038776926,0.037078723,0.0423992,0.040325029,0.048883211,0.056841954,0.039504504,0.047315349,0,0.043095586,0.047042706,0.043669062,0.057634054,0.044403802,0.046263146,0.039939984,0.044049502,0.049932474,0.044459191,0.035976154,0.05409547,0.033275037,0.043694233,0,0.04301566,0.069067902,0.046963149,0.058499127,0.044453241,0,0.039549353,0.057995716,0.024343748,0,0.067998779,0.052877992,0.060606061,0.065215505,0,0,0.051209029,0.035594988,0.042308986,0.036108028,0.049385543,0.023645163,0,0.050930676,0,0.052270659,0.062816637,0.045939562,0.032957451,0.062816637,0.036191972,0,0,0.057634054,0,0.082346934,0.046195248,0,0,0.042206843,0,0,0,0.045434027,0.029352332,0.057634054,0.060606061,0.075879505,0,0.070544615,0.057634054,0.071170066,0.056852086,0,0.056806696,0.029903713,0.051230199,0,0,0,0,0.034090909,0.042453771,0.03662776,0.032846811,0.044729665,0.046463138,0.047724068,0.044860103,0.064554732,0.050718824,0.053771765,0.072727273,0.03924877,0.064545598,0.05169855,0.042079808,0,0.057277648,0.048858909,0.040157663,0.050030603,0.028683598,0.045385088,0.051835765,0.061839529,0.047123779,0.041673165,0.047152513,0.040922106,0,0.02917271,0,0.046242381,0.024483231,0.040599889,0,0,0,0,0,0.023031494,0,0
T1012,0.022398917,0.035180554,0.02347024,0.028845534,0.018243645,0.011237813,0,0.081954662,0.017564128,0.021093819,0.020809482,0.022259008,0.027490382,0.027849093,0.020634575,0.002711299,0.01850161,0.042941966,0.093950765,0.022285716,0.017132286,0.02743869,0.020837006,0.024223994,0.020129595,0.020014736,0.022176643,0.023319596,0.02425443,0.02811244,0.024497538,0.029990046,0,0.022158054,0.034177582,0.022881302,0.029633162,0.037554875,0.022811624,0.021385809,0.028623197,0.043575118,0.02278571,0.019925296,0.025878307,0.017108714,0.023051735,0.002476099,0.022377924,0.035511997,0.023615301,0.028057474,0.022101404,0,0.123483077,0.033036904,0.017297579,0,0.033730579,0.025147791,0.027795584,0.03255212,0,0,0.024699738,0.019278724,0.021821523,0.018565327,0.026367291,0.020102142,0,0.025254217,0,0.024805254,0.028809414,0.023188316,0.01841629,0.032297843,0.018608488,0.004696108,0,0.029633162,0,0.039101463,0.02348878,0,0,0.02143486,0,0,0.004938272,0.042799966,0.015091814,0.026432541,0.028608831,0.035848338,0,0.033773587,0.029633162,0.032640524,0.026807132,0,0.02737213,0.01717486,0.052632999,0,0,0,0,0.017528204,0.047584247,0.054249044,0.07314588,0.028903447,0.022084004,0.046892875,0.022531188,0.029606552,0.023964494,0.027785121,0.034818546,0.020180173,0.030989554,0.025502479,0.036936306,0,0.037486167,0.023336643,0.021228132,0.024033085,0.016514721,0.023247167,0.027169354,0.032167417,0.022792656,0.022023535,0.029803748,0.021679726,0,0.015505482,0,0.023776013,0.014743084,0.021235055,0,0,0,0,0,0.013530097,0,0
T1014,0.048010089,0.049668947,0.044795131,0.067163865,0.044508849,0.024515368,0,0.025589978,0.042891087,0.045548886,0.04536079,0.046861725,0.0537223,0.051586868,0.041173008,0.010755567,0.03984538,0.044166281,0.028782826,0.044185418,0.036211984,0.045486824,0.046762968,0.051930821,0.043008328,0.044507775,0.043542543,0.041269031,0.049919088,0.057538969,0.041697476,0.051660423,0,0.048337949,0.044578107,0.049437402,0.06464495,0.041766893,0.044950457,0.04298241,0.046600366,0.046467192,0.048386997,0.045422879,0.051027875,0.037322779,0.050007893,0.00982254,0.047814924,0.077469669,0.048627785,0.055622446,0.044544335,0,0.038368162,0.060306609,0.026222495,0,0.06780441,0.048591033,0.046753247,0.066451891,0,0,0.049377093,0.042697707,0.046406907,0.04050039,0.05724192,0.032761865,0,0.051685799,0,0.047565756,0.048458549,0.048554368,0.042801402,0.070457968,0.040594545,0.018629189,0,0.06464495,0,0.075138337,0.048044746,0,0,0.044688049,0,0,0.019589838,0.044556414,0.032922898,0.044460556,0.053828327,0.067652455,0,0.066773074,0.06464495,0.054902622,0.050236206,0,0.054638304,0.040680052,0.054038346,0,0,0,0,0.038237899,0.0436015,0.037519829,0.031215301,0.046242271,0.04258314,0.045605149,0.046708536,0.049799365,0.045245951,0.05876262,0.06883904,0.044023188,0.061530139,0.05061162,0.045849248,0,0.055498424,0.045769968,0.044361565,0.047754849,0.039181384,0.049763553,0.057736179,0.069386579,0.045751371,0.047866617,0.049360282,0.047438346,0,0.030938719,0,0.051867537,0.036009344,0.044896903,0,0,0,0,0,0.029537978,0,0
T1016,0.067348575,0.059565205,0.053674342,0.099500526,0.07468477,0.029207357,0,0.027672148,0.059110772,0.063917785,0.064788039,0.061189834,0.064262658,0.056655649,0.064194426,0.035072133,0.053974226,0.052698022,0.034291562,0.067925045,0.053366093,0.067052534,0.068292096,0.066944873,0.059529376,0.06540892,0.06546675,0.049340449,0.059907068,0.069100825,0.051985321,0.065696724,0,0.057589334,0.050751211,0.069106727,0.077017327,0.049936223,0.055119878,0.068078421,0.060349668,0.052731011,0.06344408,0.069031606,0.055056174,0.044465975,0.071523322,0.032029686,0.067012545,0.092296565,0.062533156,0.060325056,0.055666846,0,0.04214775,0.077007815,0.041573801,0,0.084137396,0.05151584,0.0430782,0.083650245,0,0,0.054033145,0.064831493,0.062940351,0.048251748,0.085611994,0.051946288,0,0.063298494,0,0.050089712,0.044649456,0.061080897,0.063068034,0.083942897,0.048363923,0.060746717,0,0.077017327,0,0.079274527,0.064419123,0,0,0.05901359,0,0,0.063879233,0.049275187,0.039224001,0.040965727,0.055715089,0.070218114,0,0.072206174,0.077017327,0.050586993,0.051803314,0,0.059696235,0.063238947,0.066437327,0,0,0,0,0.045556238,0.053720952,0.046572978,0.035313364,0.056828248,0.04506421,0.054126671,0.059281286,0.045884877,0.04698146,0.081319393,0.074440241,0.052448772,0.066843454,0.06192039,0.059192637,0,0.064195967,0.049158102,0.066130217,0.051921725,0.06118415,0.062833194,0.083126615,0.093529173,0.050282336,0.068619781,0.061775224,0.06713264,0,0.048237751,0,0.061794449,0.060590472,0.064444807,0,0,0,0,0,0.054753284,0,0
T1018,0.072975807,0.061521656,0.053064409,0.114343078,0.086639163,0.032902754,0,0.028144846,0.062130449,0.069710232,0.071075249,0.065747865,0.064893047,0.058656047,0.06630541,0.042084102,0.058989906,0.054523647,0.038630227,0.069849447,0.057186142,0.072853807,0.076488509,0.073320264,0.064421749,0.072661362,0.066844263,0.052362532,0.063434761,0.072713264,0.055843199,0.071752412,0,0.0648757,0.051253535,0.075444784,0.086761777,0.04976659,0.056108245,0.070657354,0.064424673,0.052474016,0.068711625,0.077778851,0.055850092,0.050091935,0.078130049,0.038433378,0.072416691,0.103974187,0.065953427,0.061565056,0.057745622,0,0.043647151,0.081549821,0.043161566,0,0.087088997,0.051176527,0.034950584,0.087652528,0,0,0.055712705,0.071465364,0.06798634,0.054356695,0.093197593,0.06001243,0,0.066481543,0,0.049349859,0.036225389,0.065548915,0.072444257,0.09456359,0.054483063,0.072891803,0,0.086761777,0,0.078285121,0.067600402,0,0,0.062787535,0,0,0.076650603,0.051412643,0.044186732,0.033236673,0.053712325,0.067934631,0,0.073439606,0.086761777,0.041042684,0.049701285,0,0.061441474,0.072948897,0.071541896,0,0,0,0,0.051320142,0.056818235,0.049102326,0.035782399,0.060399756,0.044668144,0.054682449,0.062904376,0.037227722,0.045477825,0.087295817,0.075711835,0.059084739,0.068348881,0.063405163,0.06436065,0,0.06583306,0.049599621,0.070346902,0.05314193,0.070602972,0.068905311,0.089426488,0.102433551,0.052099202,0.075055484,0.065958942,0.073977184,0,0.049824012,0,0.069612857,0.070302635,0.069110426,0,0,0,0,0,0.059338484,0,0
T1021,0.065398571,0.067943684,0.062769891,0.088206481,0.058982427,0.031766147,0,0.034699321,0.054443714,0.061763416,0.061422484,0.063453708,0.074393949,0.069473581,0.059179875,0.015282437,0.053647428,0.060304704,0.037295768,0.063519097,0.050144957,0.06235743,0.062556549,0.069294556,0.058507722,0.059974742,0.062609146,0.055536823,0.067306403,0.077878126,0.056060074,0.06892281,0,0.062634605,0.061194254,0.066946583,0.08376464,0.058250465,0.062243664,0.061770331,0.063282839,0.0642451,0.065219932,0.060842939,0.0692601,0.048361537,0.067941477,0.013956712,0.065246153,0.100382457,0.066468239,0.075325788,0.061208771,0,0.051666278,0.082125417,0.037684141,0,0.093177553,0.066451172,0.067489022,0.090871162,0,0,0.066604652,0.058185742,0.063002135,0.052478973,0.078555082,0.043232473,0,0.07025744,0,0.065234631,0.069950651,0.065411084,0.056190606,0.091296943,0.052600976,0.026469957,0,0.08376464,0,0.102967753,0.066360081,0,0,0.061014458,0,0,0.027834929,0.059818969,0.042660326,0.064179488,0.074354054,0.093343227,0,0.09054249,0.08376464,0.07925277,0.069498216,0,0.073753054,0.053604977,0.072385723,0,0,0,0,0.049547317,0.059076508,0.050996167,0.042728306,0.062441801,0.058279947,0.063049238,0.063463456,0.07188614,0.062417212,0.080384359,0.093343884,0.057043689,0.083265312,0.069817099,0.06148994,0,0.075760972,0.062246722,0.061884506,0.064600394,0.051646775,0.066144469,0.079399399,0.093215115,0.061595281,0.064995481,0.066655403,0.063932027,0,0.044469657,0,0.067208119,0.047729154,0.061848424,0,0,0,0,0,0.042372157,0,0
T1025,0.061275806,0.069149723,0.074341353,0.057610724,0.039412011,0.020025191,0,0.03421093,0.04385423,0.055863836,0.05455595,0.058322577,0.082102673,0.064847336,0.0751291,0.01192564,0.046473532,0.060686026,0.023511032,0.081032368,0.051885301,0.060114147,0.049602396,0.056733311,0.054546486,0.050554265,0.080471849,0.050166949,0.061637943,0.073414874,0.049528683,0.056659052,0,0.039484485,0.064710034,0.060007225,0.052804734,0.06714207,0.068208212,0.077983573,0.059634624,0.071176524,0.057734969,0.047888797,0.068803084,0.030486828,0.061925042,0.010891111,0.0619567,0.063280508,0.065842748,0.073525294,0.063448243,0,0.048185181,0.079388801,0.047558641,0,0.096839888,0.06982397,0.09785575,0.090912819,0,0,0.062994097,0.052990793,0.058267757,0.033082435,0.075889302,0.028583131,0,0.067940581,0,0.069953674,0.101424991,0.05854522,0.036665452,0.057553054,0.033159345,0.020655814,0,0.052804734,0,0.109798871,0.069665953,0,0,0.059427542,0,0,0.021720969,0.054398912,0.026892818,0.09305709,0.083746403,0.104335473,0,0.08926811,0.052804734,0.114912604,0.079073539,0,0.070151622,0.0353133,0.062377005,0,0,0,0,0.031234336,0.05566659,0.049063851,0.044410224,0.057384249,0.061578892,0.069009161,0.060457968,0.104231354,0.069686921,0.078095703,0.092030075,0.035960005,0.080808674,0.074718947,0.052545681,0,0.076817826,0.062777548,0.06694263,0.062513618,0.034051133,0.052749977,0.078981272,0.079434697,0.057343723,0.058923932,0.060897167,0.054836097,0,0.056454416,0,0.042367602,0.031909462,0.062331847,0,0,0,0,0,0.050238454,0,0
T1027,0.059977228,0.063337618,0.048256905,0.101867202,0.061779124,0.041838711,0,0.036402545,0.051599088,0.058576175,0.058510026,0.062148495,0.06317006,0.074281887,0.031133649,0.003781376,0.054086558,0.058639654,0.049121691,0.033641241,0.039618562,0.054549348,0.064421889,0.075209425,0.054426757,0.058607037,0.033501288,0.058550321,0.069468316,0.078287168,0.05915289,0.075267837,0,0.08249509,0.056647984,0.064188592,0.110325139,0.049546417,0.052475655,0.032249147,0.06188516,0.058014072,0.065872241,0.06130932,0.070108989,0.063696249,0.063129055,0.003453348,0.059077301,0.132212215,0.061069387,0.077343571,0.054502752,0,0.056268297,0.078555849,0.020220014,0,0.083098261,0.064065186,0.042442382,0.083751336,0,0,0.070083832,0.051743036,0.059876226,0.069119262,0.066486292,0.048287621,0,0.068168356,0,0.061709992,0.043990447,0.067067493,0.065139692,0.120245822,0.06927995,0.006549536,0,0.110325139,0,0.09792294,0.055463223,0,0,0.056073102,0,0,0.006887275,0.065075135,0.05618727,0.040361088,0.066966341,0.084739554,0,0.092220667,0.110325139,0.049840347,0.061924244,0,0.077272578,0.059752523,0.07843501,0,0,0,0,0.065258021,0.059522017,0.050638278,0.04152799,0.063405465,0.055901104,0.05437077,0.061158438,0.045207634,0.05673178,0.071723604,0.095073984,0.07513138,0.085887396,0.06070607,0.064530084,0,0.073959236,0.062218992,0.045610656,0.066786551,0.057371184,0.073994886,0.067025286,0.095549001,0.065579089,0.060597975,0.068320412,0.06317928,0,0.023394822,0,0.088518797,0.049871864,0.05154955,0,0,0,0,0,0.020267254,0,0
T1029,0.05527769,0.057328212,0.072903109,0.03272681,0.032589494,0.003082344,0,0.024019891,0.033446545,0.0484376,0.047456552,0.046786493,0.07481066,0.04198383,0.093871547,0.029094327,0.036191106,0.049285774,0.003618896,0.100498266,0.054305275,0.059255636,0.038640386,0.036976385,0.048106246,0.043117532,0.098668827,0.034553601,0.04371571,0.054638765,0.034980598,0.03628005,0,0.006077583,0.053451001,0.051196074,0.008127879,0.064009643,0.06307357,0.098262386,0.048933048,0.062152377,0.04416115,0.039700958,0.048810759,0.004692633,0.055573378,0.026570444,0.056640674,0.009740345,0.057031782,0.050903406,0.056194081,0,0.031154599,0.066165412,0.059957634,0,0.085404113,0.05321167,0.099145299,0.077799684,0,0,0.041630645,0.051407863,0.049574603,0.005092158,0.076221021,0.020215119,0,0.053839754,0,0.054594639,0.102761575,0.042824314,0.020431371,0.008858756,0.005103996,0.050392852,0,0.008127879,0,0.085139561,0.0671559,0,0,0.052034803,0,0,0.052991453,0.033744204,0.004139431,0.094283401,0.068945869,0.085216575,0,0.062676177,0.008127879,0.116426929,0.065776415,0,0.046762691,0.023527719,0.041192187,0,0,0,0,0.004807692,0.042818375,0.039250727,0.035604271,0.042332147,0.047239132,0.061861706,0.049057824,0.10560492,0.056848042,0.07204195,0.064615385,0.005535083,0.055488002,0.067187392,0.037090736,0,0.060911265,0.04544439,0.073274411,0.042746982,0.02300364,0.031254516,0.077989506,0.059913084,0.036971868,0.052732098,0.0456652,0.045074268,0,0.070538092,0,0.006521361,0.026575109,0.062072719,0,0,0,0,0,0.06951781,0,0
T1030,0.071494355,0.064027405,0.064858753,0.090171455,0.072075335,0.02289741,0,0.028145757,0.050417265,0.0664978,0.06707954,0.06287197,0.073415061,0.055425438,0.083361665,0.04139573,0.054167838,0.056098063,0.026883226,0.088425152,0.0607202,0.073264596,0.067163075,0.063797639,0.0627762,0.06647052,0.085562849,0.048632886,0.059696673,0.070292989,0.051266952,0.062406924,0,0.045147756,0.055464701,0.071445421,0.060378533,0.059026873,0.062922532,0.088164446,0.062841656,0.059819952,0.063776835,0.068633525,0.056310687,0.034859562,0.075147609,0.037804722,0.071678422,0.07235685,0.067155114,0.06091115,0.061255203,0,0.041208597,0.08120543,0.053830723,0,0.092606288,0.054995177,0.062698413,0.089942635,0,0,0.053346128,0.069215913,0.065671928,0.037827458,0.093972027,0.048788948,0,0.065961324,0,0.054346059,0.064985307,0.060943869,0.056983827,0.065807905,0.037915399,0.071699508,0,0.060378533,0,0.085624116,0.07260281,0,0,0.063114752,0,0,0.075396825,0.047358079,0.030750063,0.059623801,0.062962963,0.07884005,0,0.073441983,0.060378533,0.073627128,0.059053354,0,0.05917231,0.058802934,0.064119395,0,0,0,0,0.035714286,0.055085166,0.048554732,0.038000687,0.057236914,0.048319249,0.061345809,0.061797863,0.066783407,0.052698669,0.087888042,0.075714286,0.041117759,0.067212857,0.069414132,0.057913866,0,0.068149011,0.050847786,0.077408731,0.052100352,0.057023872,0.058422511,0.091973899,0.092821806,0.049102107,0.071930985,0.062359239,0.067998299,0,0.062640629,0,0.048444399,0.058547828,0.07180879,0,0,0,0,0,0.069129855,0,0
